Suburb,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Price
Airport West,2,h,S,Nelson,2017-03-04 00:00:00.000,13.5,3042,2,1,1,272,84,1950,Moonee Valley,603000
Airport West,3,t,S,Brad,2017-03-04 00:00:00.000,13.5,3042,3,2,2,239,134,2009,Moonee Valley,700000
Airport West,3,h,S,Maddison,2017-03-04 00:00:00.000,13.5,3042,2,1,1,290,116,1980,Moonee Valley,600000
Airport West,2,u,VB,Barry,2017-03-04 00:00:00.000,13.5,3042,2,1,1,168,86,2011,Moonee Valley,500000
Airport West,6,h,SP,Barry,2016-05-07 00:00:00.000,13.5,3042,6,3,2,976,186,1980,Moonee Valley,725000
Airport West,2,t,S,Barry,2016-05-07 00:00:00.000,13.5,3042,2,1,1,110,90,2015,Moonee Valley,450000
Airport West,2,u,S,Barry,2016-11-07 00:00:00.000,13.5,3042,2,1,1,141,73,2013,Moonee Valley,515000
Airport West,2,u,S,Nelson,2016-09-10 00:00:00.000,13.5,3042,2,1,1,120,94,2012,Moonee Valley,530000
Airport West,3,h,PI,Rendina,2016-09-10 00:00:00.000,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,895000
Airport West,3,h,S,Nelson,2016-12-10 00:00:00.000,13.5,3042,3,1,1,0,105,1950,Moonee Valley,805000
Airport West,3,u,S,Nelson,2017-02-11 00:00:00.000,13.5,3042,3,1,1,265,130,1993,Moonee Valley,752000
Airport West,3,t,PI,Brad,2016-10-15 00:00:00.000,13.5,3042,3,2,2,165,133,2009,Moonee Valley,700000
Airport West,3,h,S,Barry,2016-04-16 00:00:00.000,13.5,3042,3,1,2,971,113,1960,Moonee Valley,830000
Airport West,2,h,S,Barry,2016-07-16 00:00:00.000,13.5,3042,2,1,1,612,100,1975,Moonee Valley,675000
Airport West,3,h,S,Nelson,2016-07-16 00:00:00.000,13.5,3042,3,2,5,612,174,1950,Moonee Valley,1042000
Airport West,4,h,S,Brad,2016-09-17 00:00:00.000,13.5,3042,5,3,4,531,309,1980,Moonee Valley,773000
Airport West,3,h,PI,Barry,2017-03-18 00:00:00.000,13.5,3042,3,3,2,555,192,1980,Moonee Valley,810000
Airport West,3,h,S,Rendina,2017-03-18 00:00:00.000,13.5,3042,3,2,2,422,126,1995,Moonee Valley,715000
Airport West,3,t,SP,Nelson,2016-06-18 00:00:00.000,13.5,3042,2,2,1,161,101,2010,Moonee Valley,540000
Airport West,3,t,SP,Barry,2016-11-19 00:00:00.000,13.5,3042,3,2,1,293,102,1960,Moonee Valley,825000
Airport West,3,h,S,Barry,2016-05-22 00:00:00.000,13.5,3042,3,1,1,579,113,1975,Moonee Valley,685000
Airport West,4,h,S,Harcourts,2016-11-27 00:00:00.000,13.5,3042,4,2,3,628,146,1975,Moonee Valley,900000
Albert Park,2,h,S,hockingstuart,2016-09-03 00:00:00.000,3.3,3206,2,1,0,120,82,1900,Port Phillip,1275000
Albert Park,3,h,PI,Buxton,2017-03-04 00:00:00.000,3.3,3206,3,2,0,211,198,1890,Port Phillip,2850000
Albert Park,3,h,S,Greg,2017-03-04 00:00:00.000,3.3,3206,3,2,0,128,133,1890,Port Phillip,1850000
Albert Park,2,h,S,RT,2017-03-04 00:00:00.000,3.3,3206,2,1,0,130,81,1900,Port Phillip,1436000
Albert Park,4,h,S,Marshall,2016-05-07 00:00:00.000,3.3,3206,4,2,1,153,180,1880,Port Phillip,2300000
Albert Park,3,h,VB,Greg,2016-11-07 00:00:00.000,3.3,3206,3,2,1,132,159,1996,Port Phillip,1800000
Albert Park,2,h,S,Greg,2016-09-10 00:00:00.000,3.3,3206,2,1,1,199,107,1900,Port Phillip,2120000
Albert Park,3,h,S,Marshall,2016-09-10 00:00:00.000,3.3,3206,3,2,1,90,122,1900,Port Phillip,1800000
Albert Park,3,h,S,Cayzer,2016-12-10 00:00:00.000,3.3,3206,3,2,1,177,181,1880,Port Phillip,2615000
Albert Park,3,h,S,Greg,2016-06-12 00:00:00.000,3.3,3206,3,2,2,0,85,2000,Port Phillip,1370000
Albert Park,2,h,S,Greg,2016-10-15 00:00:00.000,3.3,3206,2,1,0,149,98,1890,Port Phillip,1322500
Albert Park,2,h,S,Greg,2016-10-15 00:00:00.000,3.3,3206,2,1,0,141,83,1890,Port Phillip,1562500
Albert Park,3,h,VB,RT,2016-04-16 00:00:00.000,3.3,3206,3,2,1,211,147,1900,Port Phillip,2000000
Albert Park,3,h,S,Greg,2017-03-18 00:00:00.000,3.3,3206,3,2,0,147,146,1890,Port Phillip,3010000
Albert Park,4,h,VB,Cayzer,2016-06-18 00:00:00.000,3.3,3206,4,3,1,327,254,1910,Port Phillip,2800000
Albert Park,3,h,SP,Marshall,2016-04-23 00:00:00.000,3.3,3206,2,1,1,120,123,1900,Port Phillip,2100000
Albert Park,3,h,PI,Marshall,2016-09-24 00:00:00.000,3.3,3206,3,1,1,238,131,1890,Port Phillip,2000000
Albert Park,1,u,S,Marshall,2017-02-25 00:00:00.000,3.3,3206,1,1,0,0,34,1970,Port Phillip,442500
Albert Park,4,h,S,Marshall,2017-02-25 00:00:00.000,3.3,3206,4,2,1,330,207,1910,Port Phillip,4735000
Albert Park,4,h,S,Greg,2016-06-27 00:00:00.000,3.3,3206,3,2,1,183,145,1880,Port Phillip,2140000
Albert Park,2,h,S,Greg,2016-05-28 00:00:00.000,3.3,3206,2,1,0,79,68,1890,Port Phillip,980000
Albert Park,3,h,PI,Marshall,2016-08-28 00:00:00.000,3.3,3206,3,2,2,147,134,1890,Port Phillip,1740000
Albert Park,1,h,S,Marshall,2016-07-30 00:00:00.000,3.3,3206,1,1,0,81,54,1900,Port Phillip,985000
Alphington,4,h,S,Brace,2016-09-03 00:00:00.000,6.4,3078,3,2,4,853,263,1930,Darebin,2000000
Alphington,4,h,S,Collins,2016-10-08 00:00:00.000,6.4,3078,4,2,1,599,203,1925,Darebin,1717500
Alphington,5,h,S,Nelson,2016-06-12 00:00:00.000,6.4,3078,5,4,4,809,165,1910,Darebin,2840000
Alphington,2,u,S,Miles,2016-11-12 00:00:00.000,6.4,3078,2,1,1,88,60,1960,Darebin,525500
Alphington,2,t,S,Miles,2016-11-12 00:00:00.000,6.4,3078,2,2,3,155,140,2004,Darebin,805000
Alphington,4,h,S,Nelson,2016-11-19 00:00:00.000,6.4,3078,4,2,2,606,112,1970,Darebin,1830000
Alphington,4,h,S,Nelson,2016-11-19 00:00:00.000,6.4,3078,4,2,2,575,271,2008,Darebin,2100000
Alphington,3,h,SP,hockingstuart,2016-05-22 00:00:00.000,6.4,3078,3,1,1,180,131,2010,Darebin,865000
Alphington,2,u,VB,Nelson,2016-05-22 00:00:00.000,6.4,3078,2,1,1,0,60,1960,Darebin,390000
Alphington,2,u,S,Love,2017-02-25 00:00:00.000,6.4,3078,2,1,1,0,61,1965,Darebin,512000
Alphington,4,h,SP,McGrath,2016-11-27 00:00:00.000,6.4,3078,4,2,2,556,272,1930,Yarra,1900000
Alphington,4,h,S,Jellis,2016-07-30 00:00:00.000,6.4,3078,4,2,3,589,210,1920,Darebin,1950000
Altona,3,h,VB,Greg,2016-09-03 00:00:00.000,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,520000
Altona,5,h,S,Greg,2016-12-03 00:00:00.000,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,1525000
Altona,2,t,S,hockingstuart,2016-02-04 00:00:00.000,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,720000
Altona,3,h,S,Barlow,2017-03-04 00:00:00.000,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,1120000
Altona,4,h,SP,Greg,2016-06-04 00:00:00.000,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,1780000
Altona,3,u,S,Barlow,2016-08-06 00:00:00.000,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,630000
Altona,3,h,VB,Greg,2016-05-07 00:00:00.000,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,660000
Altona,2,u,S,Barlow,2016-10-08 00:00:00.000,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,580000
Altona,3,h,S,hockingstuart,2016-10-08 00:00:00.000,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,1335000
Altona,2,u,S,Village,2016-09-10 00:00:00.000,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,510000
Altona,2,u,S,hockingstuart,2016-09-10 00:00:00.000,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,425000
Altona,2,u,SP,Greg,2017-02-11 00:00:00.000,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,391000
Altona,4,h,S,hockingstuart,2017-02-11 00:00:00.000,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,845000
Altona,3,u,SP,Barlow,2016-08-13 00:00:00.000,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,730000
Altona,2,u,S,Burnham,2016-10-15 00:00:00.000,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,447000
Altona,3,h,S,hockingstuart,2016-04-16 00:00:00.000,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,678000
Altona,2,u,PI,Biggin,2016-07-16 00:00:00.000,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,580000
Altona,3,h,SP,Greg,2017-03-18 00:00:00.000,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,840000
Altona,3,u,S,Williams,2016-04-23 00:00:00.000,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,577000
Altona,2,h,SP,hockingstuart,2016-11-27 00:00:00.000,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,857000
Altona,3,u,SP,Barlow,2016-05-28 00:00:00.000,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,730000
Altona,2,h,SP,Compton,2016-07-30 00:00:00.000,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,535600
Altona North,5,h,S,FN,2016-09-03 00:00:00.000,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,1085000
Altona North,3,h,S,Jas,2016-09-03 00:00:00.000,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,781000
Altona North,2,t,S,hockingstuart,2017-03-04 00:00:00.000,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,421000
Altona North,3,h,S,FN,2016-06-04 00:00:00.000,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,683000
Altona North,3,h,VB,Greg,2016-08-06 00:00:00.000,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,720000
Altona North,3,h,S,Williams,2016-05-07 00:00:00.000,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,588000
Altona North,3,h,PI,Village,2016-11-07 00:00:00.000,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,710000
Altona North,4,h,SP,Jas,2016-10-08 00:00:00.000,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,875000
Altona North,3,h,S,hockingstuart,2016-05-14 00:00:00.000,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,675000
Altona North,3,h,S,Greg,2016-10-15 00:00:00.000,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,708000
Altona North,4,h,SP,Raine&Horne,2016-05-22 00:00:00.000,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,693000
Altona North,3,h,SP,Hunter,2016-08-22 00:00:00.000,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,620000
Altona North,3,h,S,Jas,2016-08-22 00:00:00.000,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,728500
Altona North,3,h,S,hockingstuart,2016-08-22 00:00:00.000,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,931000
Altona North,3,h,S,hockingstuart,2017-02-25 00:00:00.000,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,815000
Altona North,4,h,SP,RT,2016-11-27 00:00:00.000,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,1200000
Altona North,2,u,S,Jas,2016-08-28 00:00:00.000,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,292000
Armadale,2,u,S,Jellis,2016-09-03 00:00:00.000,6.3,3143,2,1,1,0,76,1964,Stonnington,599000
Armadale,3,u,S,Marshall,2016-12-03 00:00:00.000,6.3,3143,3,2,2,0,100,1998,Stonnington,995000
Armadale,3,t,S,Jellis,2016-12-03 00:00:00.000,6.3,3143,3,2,2,101,105,2000,Stonnington,1205000
Armadale,3,h,S,Jellis,2016-12-03 00:00:00.000,6.3,3143,3,2,2,296,150,1889,Stonnington,1939000
Armadale,3,h,S,Hodges,2017-03-04 00:00:00.000,6.3,3143,3,1,1,217,116,1888,Stonnington,1870000
Armadale,3,t,SP,Jellis,2017-03-04 00:00:00.000,6.3,3143,3,2,2,0,165,1995,Stonnington,1918000
Armadale,3,h,S,Marshall,2017-03-04 00:00:00.000,6.3,3143,3,2,1,205,116,1910,Stonnington,2050000
Armadale,3,u,PI,Marshall,2016-05-07 00:00:00.000,6.3,3143,3,2,1,2113,14,1970,Stonnington,735000
Armadale,1,h,SP,Jellis,2016-10-08 00:00:00.000,6.3,3143,2,2,1,144,107,1900,Stonnington,1435000
Armadale,1,u,PI,hockingstuart,2016-09-10 00:00:00.000,6.3,3143,1,1,1,0,38,1975,Stonnington,280000
Armadale,2,u,S,hockingstuart,2016-12-10 00:00:00.000,6.3,3143,2,1,1,0,73,1970,Stonnington,592500
Armadale,2,h,S,Marshall,2016-11-12 00:00:00.000,6.3,3143,2,1,0,249,96,1910,Stonnington,1210000
Armadale,4,h,S,Marshall,2016-11-12 00:00:00.000,6.3,3143,4,2,2,624,222,1900,Stonnington,2801000
Armadale,3,h,PI,RT,2016-10-15 00:00:00.000,6.3,3143,3,2,2,405,121,1910,Stonnington,1800000
Armadale,4,h,PI,Jellis,2016-10-15 00:00:00.000,6.3,3143,4,1,2,495,163,1900,Stonnington,2200000
Armadale,6,h,S,Marshall,2016-09-17 00:00:00.000,6.3,3143,5,3,4,1491,516,1935,Stonnington,5525000
Armadale,1,u,SP,Jellis,2017-03-18 00:00:00.000,6.3,3143,1,1,1,0,53,1970,Stonnington,440000
Armadale,3,h,VB,Jellis,2016-06-18 00:00:00.000,6.3,3143,2,1,2,212,106,1900,Stonnington,1300000
Armadale,2,u,SP,Greg,2016-11-19 00:00:00.000,6.3,3143,2,1,1,0,74,1969,Stonnington,704000
Armadale,2,u,VB,Marshall,2016-11-19 00:00:00.000,6.3,3143,3,1,1,0,98,1970,Stonnington,620000
Armadale,3,h,S,Marshall,2016-05-22 00:00:00.000,6.3,3143,3,1,2,328,108,1900,Stonnington,1900000
Armadale,2,u,S,Jellis,2017-02-25 00:00:00.000,6.3,3143,2,1,1,2471,80,1970,Stonnington,710000
Armadale,2,u,S,hockingstuart,2017-02-25 00:00:00.000,6.3,3143,2,1,1,0,88,1970,Stonnington,598000
Armadale,3,h,S,Marshall,2017-02-25 00:00:00.000,6.3,3143,3,1,2,186,80,1920,Stonnington,1285000
Armadale,2,u,S,hockingstuart,2016-06-27 00:00:00.000,6.3,3143,1,1,1,0,76,1970,Stonnington,520000
Armadale,4,h,S,Jellis,2016-11-27 00:00:00.000,6.3,3143,4,1,2,709,251,1900,Stonnington,3625000
Armadale,4,h,VB,Kay,2016-11-27 00:00:00.000,6.3,3143,4,3,3,563,333,2000,Stonnington,4200000
Armadale,3,t,S,Jellis,2016-11-27 00:00:00.000,6.3,3143,3,1,2,103,3,2000,Stonnington,1101000
Armadale,3,h,S,Marshall,2016-11-27 00:00:00.000,6.3,3143,3,2,2,617,285,1998,Stonnington,3512500
Armadale,3,u,S,Jellis,2016-05-28 00:00:00.000,6.3,3143,2,1,1,0,91,1940,Stonnington,869000
Armadale,1,u,S,hockingstuart,2016-08-28 00:00:00.000,6.3,3143,1,1,1,0,53,2013,Stonnington,567000
Ascot Vale,3,h,S,Nelson,2016-12-03 00:00:00.000,5.9,3032,3,1,2,298,108,1920,Moonee Valley,940000
Ascot Vale,2,u,SP,Brad,2016-12-03 00:00:00.000,5.9,3032,2,1,1,0,62,1980,Moonee Valley,467000
Ascot Vale,3,h,SP,Nelson,2017-03-04 00:00:00.000,5.9,3032,3,2,2,277,174,1910,Moonee Valley,1380000
Ascot Vale,2,u,VB,Jellis,2017-03-04 00:00:00.000,5.9,3032,2,1,1,423,62,1970,Moonee Valley,490000
Ascot Vale,4,h,S,Brad,2017-03-04 00:00:00.000,5.9,3032,4,3,1,478,270,1900,Moonee Valley,1850000
Ascot Vale,3,h,SP,Nelson,2016-06-04 00:00:00.000,5.9,3032,3,2,2,285,128,1900,Moonee Valley,971000
Ascot Vale,2,h,PI,Nelson,2016-06-04 00:00:00.000,5.9,3032,2,1,1,214,77,1890,Moonee Valley,710000
Ascot Vale,6,h,PI,Brad,2016-06-04 00:00:00.000,5.9,3032,6,3,2,1014,435,1887,Moonee Valley,2425000
Ascot Vale,2,h,SP,Maddison,2016-06-04 00:00:00.000,5.9,3032,2,1,1,226,92,1920,Moonee Valley,750000
Ascot Vale,2,h,S,Nelson,2016-08-06 00:00:00.000,5.9,3032,2,1,1,269,109,1900,Moonee Valley,1053000
Ascot Vale,3,h,S,Nelson,2016-08-06 00:00:00.000,5.9,3032,3,1,1,417,168,1900,Moonee Valley,1377000
Ascot Vale,3,h,S,Brad,2016-05-07 00:00:00.000,5.9,3032,3,1,2,350,125,1904,Moonee Valley,970000
Ascot Vale,2,h,PI,Nelson,2016-05-07 00:00:00.000,5.9,3032,2,1,1,118,79,1890,Moonee Valley,751000
Ascot Vale,2,h,SP,Raine,2016-05-07 00:00:00.000,5.9,3032,2,1,1,173,102,1900,Moonee Valley,950000
Ascot Vale,2,u,S,Brad,2016-11-07 00:00:00.000,5.9,3032,2,1,2,228,90,1995,Moonee Valley,685000
Ascot Vale,3,h,S,Nelson,2016-10-08 00:00:00.000,5.9,3032,4,1,2,594,148,1960,Moonee Valley,1230000
Ascot Vale,2,h,PI,Nelson,2016-09-10 00:00:00.000,5.9,3032,2,1,1,226,87,1900,Moonee Valley,770000
Ascot Vale,4,h,SP,Raine,2016-12-10 00:00:00.000,5.9,3032,4,1,1,300,185,1890,Moonee Valley,890000
Ascot Vale,3,h,S,Nelson,2017-02-11 00:00:00.000,5.9,3032,3,1,1,487,131,1900,Moonee Valley,1440000
Ascot Vale,3,h,PI,Brad,2016-11-12 00:00:00.000,5.9,3032,3,2,2,440,120,1955,Moonee Valley,1000000
Ascot Vale,3,h,S,Nelson,2016-11-12 00:00:00.000,5.9,3032,3,2,2,532,147,1950,Moonee Valley,1435000
Ascot Vale,1,u,S,Alexkarbon,2016-11-12 00:00:00.000,5.9,3032,1,1,1,0,58,1972,Moonee Valley,390000
Ascot Vale,3,h,PI,Jellis,2016-08-13 00:00:00.000,5.9,3032,3,2,2,495,139,1920,Moonee Valley,1425000
Ascot Vale,4,h,S,Nelson,2016-05-14 00:00:00.000,5.9,3032,3,2,2,683,232,1978,Moonee Valley,1340000
Ascot Vale,3,h,S,Brad,2016-05-14 00:00:00.000,5.9,3032,3,1,1,263,117,1910,Moonee Valley,955000
Ascot Vale,4,h,VB,Nelson,2016-10-15 00:00:00.000,5.9,3032,4,2,5,559,195,1920,Moonee Valley,1100000
Ascot Vale,2,u,S,Biggin,2016-10-15 00:00:00.000,5.9,3032,2,1,1,0,62,1978,Moonee Valley,432000
Ascot Vale,4,h,S,Raine,2016-04-16 00:00:00.000,5.9,3032,4,3,2,562,204,1890,Moonee Valley,1640000
Ascot Vale,6,h,S,Nelson,2016-04-16 00:00:00.000,5.9,3032,4,2,1,461,286,1900,Moonee Valley,1430000
Ascot Vale,2,u,SP,Brad,2016-04-16 00:00:00.000,5.9,3032,2,1,1,301,104,1995,Moonee Valley,610000
Ascot Vale,3,h,S,Nelson,2016-04-16 00:00:00.000,5.9,3032,3,3,1,491,127,1950,Moonee Valley,940000
Ascot Vale,3,h,SP,Brad,2016-07-16 00:00:00.000,5.9,3032,3,1,1,242,110,1920,Moonee Valley,890000
Ascot Vale,3,h,SP,Brad,2016-09-17 00:00:00.000,5.9,3032,3,2,2,617,149,1930,Moonee Valley,1180000
Ascot Vale,4,h,S,Raine,2016-09-17 00:00:00.000,5.9,3032,4,2,2,597,180,1939,Moonee Valley,1480000
Ascot Vale,2,t,SP,Nelson,2017-03-18 00:00:00.000,5.9,3032,2,2,1,146,132,2015,Moonee Valley,865000
Ascot Vale,2,u,S,Alexkarbon,2016-06-18 00:00:00.000,5.9,3032,2,1,1,0,62,1975,Moonee Valley,442000
Ascot Vale,3,h,S,Alexkarbon,2016-11-19 00:00:00.000,5.9,3032,3,1,2,506,110,1920,Moonee Valley,1037500
Ascot Vale,3,t,S,Jellis,2016-11-19 00:00:00.000,5.9,3032,3,2,2,318,160,2013,Moonee Valley,1050000
Ascot Vale,2,u,S,McDonald,2016-11-19 00:00:00.000,5.9,3032,2,1,1,0,65,1970,Moonee Valley,440000
Ascot Vale,4,h,S,Nelson,2016-05-22 00:00:00.000,5.9,3032,4,2,0,418,158,1900,Moonee Valley,1430000
Ascot Vale,3,h,S,Nelson,2016-04-23 00:00:00.000,5.9,3032,3,2,1,272,157,1900,Moonee Valley,1130000
Ascot Vale,3,h,S,Brad,2016-09-24 00:00:00.000,5.9,3032,3,1,1,296,104,1910,Moonee Valley,1135000
Ascot Vale,4,h,PI,Nelson,2016-09-24 00:00:00.000,5.9,3032,4,2,1,298,147,1920,Moonee Valley,950000
Ascot Vale,2,u,PI,Jellis,2017-02-25 00:00:00.000,5.9,3032,2,1,1,1957,69,2012,Moonee Valley,390000
Ascot Vale,4,h,S,Jellis,2017-02-25 00:00:00.000,5.9,3032,4,1,1,552,155,1920,Moonee Valley,1345000
Ascot Vale,3,h,S,Barry,2017-02-25 00:00:00.000,5.9,3032,3,2,2,416,168,1900,Moonee Valley,1381500
Ascot Vale,3,h,S,Jellis,2016-07-26 00:00:00.000,5.9,3032,3,2,2,285,172,2011,Moonee Valley,940000
Ascot Vale,3,h,S,Nelson,2016-07-26 00:00:00.000,5.9,3032,3,2,1,314,177,2010,Moonee Valley,995000
Ascot Vale,3,h,S,Brad,2016-07-26 00:00:00.000,5.9,3032,3,2,1,576,120,1940,Moonee Valley,786000
Ascot Vale,2,h,PI,Nelson,2016-06-27 00:00:00.000,5.9,3032,2,1,3,252,108,1910,Moonee Valley,705000
Ascot Vale,2,h,PI,Nelson,2016-06-27 00:00:00.000,5.9,3032,2,1,1,124,77,1900,Moonee Valley,760000
Ascot Vale,3,t,S,Nelson,2016-11-27 00:00:00.000,5.9,3032,3,2,2,200,144,2003,Moonee Valley,1000000
Ascot Vale,3,h,S,Barry,2016-05-28 00:00:00.000,5.9,3032,2,1,1,278,166,1900,Moonee Valley,1305000
Ascot Vale,3,h,S,Stockdale,2016-08-28 00:00:00.000,5.9,3032,3,1,1,452,175,1960,Moonee Valley,1215000
Ascot Vale,2,u,S,Nelson,2016-08-28 00:00:00.000,5.9,3032,2,1,2,194,71,1900,Moonee Valley,545000
Ascot Vale,4,h,S,Jellis,2016-07-30 00:00:00.000,5.9,3032,4,2,4,598,273,2012,Moonee Valley,1705000
Ashburton,4,h,S,Marshall,2016-09-03 00:00:00.000,11,3147,4,3,2,753,399,2015,Boroondara,2650000
Ashburton,3,h,S,Jellis,2016-12-03 00:00:00.000,11,3147,3,2,2,599,220,1930,Boroondara,1670000
Ashburton,3,t,S,Fletchers,2016-12-03 00:00:00.000,11,3147,3,3,4,310,315,2014,Boroondara,2050000
Ashburton,3,h,S,Jellis,2016-06-04 00:00:00.000,11,3147,3,2,2,731,149,1935,Boroondara,1555000
Ashburton,3,h,PI,Marshall,2016-10-08 00:00:00.000,11,3147,3,3,2,276,178,2004,Boroondara,1100000
Ashburton,3,h,S,Buxton,2016-10-08 00:00:00.000,11,3147,3,1,2,583,112,1950,Boroondara,1337000
Ashburton,8,h,S,hockingstuart,2016-09-10 00:00:00.000,11,3147,9,7,4,1472,618,2009,Boroondara,2950000
Ashburton,3,h,S,Jellis,2016-09-10 00:00:00.000,11,3147,3,2,2,516,145,1920,Boroondara,1518000
Ashburton,3,h,S,hockingstuart,2016-12-10 00:00:00.000,11,3147,3,1,2,806,101,1950,Boroondara,1710000
Ashburton,3,h,S,Jellis,2016-12-10 00:00:00.000,11,3147,3,1,3,780,152,1940,Boroondara,1655000
