Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Price
Cremorne,18 Chapel St,2,h,S,Biggin,16/07/2016 0:00,2.5,3121,2,1,1,131,80,1890,Yarra,-37.8274,144.9967,1015000
Southbank,75/285 City Rd,1,u,VB,Dingle,30/07/2016 0:00,1.2,3006,1,1,1,546,51,2000,Melbourne,-37.8274,144.9587,370000
Southbank,92/99 Whiteman St,2,u,VB,Marshall,06/08/2016 0:00,1.2,3006,2,2,1,0,110,2000,Melbourne,-37.8273,144.9556,650000
Hawthorn,78/8 Wallen Rd,4,u,VB,Kay,15/10/2016 0:00,4.6,3122,4,2,3,207,180,2002,Boroondara,-37.8271,145.0243,1650000
Richmond,46 Park Gr,4,h,PI,Biggin,24/09/2016 0:00,2.6,3121,4,2,0,288,193,1900,Yarra,-37.8268,145.0129,1800000
Southbank,6/77 Dodds St,4,u,S,Ray,07/05/2016 0:00,1.2,3006,4,3,1,0,172,1995,Melbourne,-37.8267,144.9687,990000
Southbank,9/81 Dodds St,3,u,SP,Greg,04/06/2016 0:00,1.2,3006,3,2,1,0,114,1995,Melbourne,-37.8267,144.9687,868000
Southbank,6/85 Dodds St,4,u,S,Kay,12/11/2016 0:00,1.2,3006,4,3,1,0,176,2000,Melbourne,-37.8267,144.9687,1250000
Cremorne,56 Wellington St,3,h,VB,Jellis,18/06/2016 0:00,2.5,3121,3,2,2,263,166,2016,Yarra,-37.8266,144.9894,1900000
Richmond,28 Farmer St,3,h,SP,Jellis,26/07/2016 0:00,2.6,3121,3,1,1,331,121,1960,Yarra,-37.8263,145.0085,2055000
Richmond,8 Survey St,4,h,S,Collins,17/09/2016 0:00,2.6,3121,4,2,1,263,145,1900,Yarra,-37.8261,145.0127,1591000
Hawthorn,22/9 Lisson Gr,1,u,S,Biggin,19/11/2016 0:00,4.6,3122,1,1,1,0,52,1970,Boroondara,-37.8261,145.0269,445000
Cremorne,14 Dover St,2,h,S,hockingstuart,16/07/2016 0:00,2.5,3121,2,1,1,125,68,1900,Yarra,-37.8258,144.992,930000
Richmond,28/81 Edinburgh St,2,u,S,Jellis,04/03/2017 0:00,2.6,3121,2,1,1,0,62,1970,Yarra,-37.8258,145.0057,479000
Cremorne,607/140 Swan St,2,u,S,Jellis,19/11/2016 0:00,2.5,3121,2,1,1,0,75,2015,Yarra,-37.8255,144.9948,662500
Richmond,50 Canterbury St,2,h,S,Biggin,28/05/2016 0:00,2.6,3121,2,1,0,127,72,1900,Yarra,-37.8251,145.0063,827500
Richmond,36 Elm Gr,3,h,S,Marshall,17/09/2016 0:00,2.6,3121,3,1,3,210,118,1900,Yarra,-37.8247,145.0001,1695000
Southbank,293/88 Kavanagh St,2,u,VB,Greg,04/06/2016 0:00,1.2,3006,2,1,1,0,84,2003,Melbourne,-37.8246,144.9632,530000
Hawthorn,151 Power St,4,h,S,RT,27/11/2016 0:00,4.6,3122,4,2,2,410,275,1890,Boroondara,-37.8246,145.026,1976000
Southbank,125/173 City Rd,1,u,VB,Greg,16/04/2016 0:00,1.2,3006,1,1,1,0,57,2004,Melbourne,-37.8245,144.9622,425000
Richmond,308 Lennox St,2,h,S,Biggin,10/12/2016 0:00,2.6,3121,2,1,1,166,88,1900,Yarra,-37.8245,144.9933,1220000
Richmond,50B Duke St,3,h,S,Biggin,10/12/2016 0:00,2.6,3121,3,2,1,120,126,2010,Yarra,-37.8243,145.0034,1250000
Richmond,7/182 Coppin St,1,u,S,Jellis,22/08/2016 0:00,2.6,3121,1,1,1,0,40,1965,Yarra,-37.8242,145.0026,306000
Richmond,149 Mary St,3,h,S,Abercromby's,10/12/2016 0:00,2.6,3121,3,1,0,162,81,1915,Yarra,-37.8241,145.0015,1100000
Richmond,27 Glass St,3,h,S,Whiting,14/05/2016 0:00,2.6,3121,3,2,2,129,120,1980,Yarra,-37.824,145.0052,1115000
Richmond,29/9 Tennyson St,2,u,S,Biggin,03/09/2016 0:00,2.6,3121,2,1,1,0,75,2001,Yarra,-37.824,144.9918,582000
Richmond,2/310 Burnley St,3,t,S,Biggin,16/04/2016 0:00,2.6,3121,3,2,1,0,110,2000,Yarra,-37.8238,145.0072,911000
Richmond,32 Duke St,2,h,S,Jellis,04/06/2016 0:00,2.6,3121,2,1,1,169,92,1900,Yarra,-37.8235,145.0035,1025000
Southbank,41/106 Southbank Bvd,3,u,S,VICPROP,03/09/2016 0:00,1.2,3006,3,1,1,0,106,1993,Melbourne,-37.8235,144.9655,720000
Richmond,22a Stanley St,3,h,S,Biggin,24/09/2016 0:00,2.6,3121,3,2,2,80,144,1850,Yarra,-37.8233,144.9947,1600000
Richmond,8 George St,2,h,S,Biggin,10/12/2016 0:00,2.6,3121,2,1,0,158,110,1900,Yarra,-37.8232,145.0002,1189000
Richmond,508/18 Tanner St,1,u,S,hockingstuart,10/09/2016 0:00,2.6,3121,1,1,1,0,50,2004,Yarra,-37.8231,144.9906,681000
Richmond,303/18 Tanner St,2,h,PI,Dingle,08/10/2016 0:00,2.6,3121,2,1,1,0,60,2004,Yarra,-37.8231,144.9906,270000
Richmond,401/18 Tanner St,2,u,S,Biggin,15/10/2016 0:00,2.6,3121,2,2,1,0,85,2008,Yarra,-37.8231,144.9906,691000
Richmond,101/18 Tanner St,2,u,S,Biggin,04/03/2017 0:00,2.6,3121,2,2,1,2740,76,2003,Yarra,-37.8231,144.9906,635000
Richmond,6/366 Church St,2,u,S,Jellis,15/10/2016 0:00,2.6,3121,2,1,1,0,52,2012,Yarra,-37.823,144.9982,680000
Richmond,10 Botherambo St,2,t,SP,Jellis,25/02/2017 0:00,2.6,3121,2,2,1,170,89,1940,Yarra,-37.8229,144.9931,1200000
Southbank,3303/9 Power St,2,u,PI,Marshall,24/09/2016 0:00,1.2,3006,2,2,2,0,73,2014,Melbourne,-37.8229,144.9612,800000
Southbank,308/18 Kavanagh St,1,u,S,Greg,11/02/2017 0:00,1.2,3006,1,1,0,760,70,2007,Melbourne,-37.8228,144.9661,455000
Southbank,1605/14 Kavanagh St,2,u,S,Ray,07/05/2016 0:00,1.2,3006,2,2,1,0,100,2000,Melbourne,-37.8227,144.9664,592500
Richmond,8 Malleson St,3,h,S,Jellis,14/05/2016 0:00,2.6,3121,3,1,0,198,119,1890,Yarra,-37.8225,145.0007,1420000
Richmond,134 Coppin St,3,h,S,Jellis,18/06/2016 0:00,2.6,3121,3,2,1,157,141,1900,Yarra,-37.8225,145.0029,1456000
Richmond,6 Brady St,3,h,S,Biggin,18/03/2017 0:00,2.6,3121,3,2,1,132,95,1900,Yarra,-37.822,145.0041,1275000
Richmond,9/63 Stawell St,2,u,S,Biggin,16/04/2016 0:00,2.6,3121,2,2,1,0,77,2008,Yarra,-37.822,145.0104,638000
Richmond,110/61 Stawell St,1,u,PI,McGrath,07/05/2016 0:00,2.6,3121,1,1,1,7455,53,2005,Yarra,-37.822,145.0104,405000
Richmond,201/61 Stawell St,1,u,PI,hockingstuart,27/06/2016 0:00,2.6,3121,1,1,1,0,60,2008,Yarra,-37.822,145.0104,410000
Richmond,3/61 Stawell St,2,u,S,Jellis,27/06/2016 0:00,2.6,3121,2,2,1,0,68,2008,Yarra,-37.822,145.0104,696000
Southbank,73/1 Riverside Qy,2,u,S,Dingle,24/09/2016 0:00,1.2,3006,2,2,1,0,93,1994,Melbourne,-37.822,144.9637,540000
Richmond,43 Type St,3,h,S,Biggin,27/11/2016 0:00,2.6,3121,3,1,1,152,92,1910,Yarra,-37.8219,145.0096,1270000
Richmond,45 Westbank Tce,2,h,S,Jellis,18/06/2016 0:00,2.6,3121,2,1,1,138,81,1890,Yarra,-37.8218,145.0132,1045000
Richmond,57 Neptune St,3,h,S,hockingstuart,23/04/2016 0:00,2.6,3121,3,2,1,312,141,1920,Yarra,-37.8217,145.007,1650000
Richmond,51 Hunter St,2,h,S,hockingstuart,19/11/2016 0:00,2.6,3121,2,1,1,197,80,1960,Yarra,-37.8215,145.0054,1145000
Richmond,5/285 Punt Rd,1,u,S,Jellis,10/09/2016 0:00,2.6,3121,1,1,1,0,1,1970,Yarra,-37.8214,144.9896,342000
Richmond,29 Westbank Tce,3,h,S,hockingstuart,22/08/2016 0:00,2.6,3121,2,2,1,203,112,1900,Yarra,-37.8214,145.0132,1850000
Richmond,3/11 Brougham St,1,u,S,Biggin,03/12/2016 0:00,2.6,3121,1,1,1,502,38,1950,Yarra,-37.8214,144.9997,370000
Hawthorn,13/44 Burwood Rd,2,u,S,Jellis,28/08/2016 0:00,4.6,3122,2,2,2,0,89,2000,Boroondara,-37.8213,145.0224,627500
Richmond,320 Church St,3,h,S,Jellis,24/09/2016 0:00,2.6,3121,3,2,1,192,111,1900,Yarra,-37.8212,144.9985,1651000
Melbourne,103/565 Flinders St,2,u,VB,Dingle,28/08/2016 0:00,2.8,3000,1,1,1,1136,69,2009,Melbourne,-37.8211,144.9559,360000
Richmond,52 Hunter St,2,h,SP,Biggin,27/11/2016 0:00,2.6,3121,2,1,0,156,80,1900,Yarra,-37.8209,145.0052,1150000
Richmond,35A Hunter St,2,t,S,Jellis,12/11/2016 0:00,2.6,3121,2,2,2,153,125,2004,Yarra,-37.8209,145.0055,1430000
Richmond,42 Hunter St,2,h,S,Biggin,15/10/2016 0:00,2.6,3121,2,2,0,74,95,2000,Yarra,-37.8207,145.0053,860000
Richmond,9 Type St,4,h,PI,Biggin,18/03/2017 0:00,2.6,3121,4,2,0,0,171,1900,Yarra,-37.8206,145.0099,1510000
Richmond,30 Rowena Pde,3,h,S,Biggin,27/06/2016 0:00,2.6,3121,3,1,1,209,128,1900,Yarra,-37.8206,144.9913,1345000
Richmond,19 Dickens St,3,h,S,Jellis,22/08/2016 0:00,2.6,3121,2,1,1,181,102,1900,Yarra,-37.8203,145.0092,1270000
Richmond,249 Punt Rd,4,h,S,Biggin,22/05/2016 0:00,2.6,3121,4,1,0,254,124,1890,Yarra,-37.8201,144.9898,905000
Richmond,249 Punt Rd,4,h,VB,Jellis,08/10/2016 0:00,2.6,3121,4,1,0,254,124,1890,Yarra,-37.8201,144.9898,950000
Richmond,288 Church St,3,h,S,Abercromby's,25/02/2017 0:00,2.6,3121,3,2,1,189,164,1900,Yarra,-37.82,144.9987,1555000
Richmond,24 The Crofts,2,h,S,hockingstuart,30/07/2016 0:00,2.6,3121,2,1,0,103,74,1900,Yarra,-37.8199,144.9911,1125000
Richmond,219/6 Lord St,2,u,PI,hockingstuart,28/08/2016 0:00,2.6,3121,2,2,1,0,91,2013,Yarra,-37.8198,145.005,790000
Richmond,503/6 Lord St,2,u,S,Jellis,10/09/2016 0:00,2.6,3121,3,2,2,0,95,2013,Yarra,-37.8198,145.005,1040000
Richmond,6/33 Goodwood St,2,u,S,Marshall,10/09/2016 0:00,2.6,3121,2,1,1,0,61,1970,Yarra,-37.8198,144.996,512000
Richmond,315/6 Lord St,1,u,VB,Jellis,07/11/2016 0:00,2.6,3121,1,1,1,0,52,2013,Yarra,-37.8198,145.005,500000
Richmond,414/6 Lord St,2,u,S,Biggin,04/03/2017 0:00,2.6,3121,2,1,1,2571,66,2013,Yarra,-37.8198,145.005,561000
Richmond,603/120 Palmer St,1,u,S,LITTLE,14/05/2016 0:00,2.6,3121,1,1,1,0,40,2011,Yarra,-37.8195,145.0103,390000
Richmond,6 Berry St,2,h,PI,hockingstuart,10/12/2016 0:00,2.6,3121,2,1,0,95,63,1900,Yarra,-37.8193,144.9976,900000
Richmond,247 Church St,3,h,PI,Jellis,04/06/2016 0:00,2.6,3121,3,1,1,199,105,1900,Yarra,-37.8193,144.9993,1010000
Richmond,140/73 River St,2,u,SP,Biggin,22/05/2016 0:00,2.6,3121,2,2,2,0,75,2009,Yarra,-37.8189,145.0131,604000
Richmond,153/73 River St,2,u,SP,Biggin,28/05/2016 0:00,2.6,3121,2,2,1,0,70,2004,Yarra,-37.8189,145.0131,560000
Richmond,3/77 River St,3,u,S,Biggin,24/09/2016 0:00,2.6,3121,3,2,2,0,104,2005,Yarra,-37.8189,145.0131,791500
Melbourne,2111/620 Collins St,2,u,SP,Greg,12/11/2016 0:00,2.8,3000,2,1,1,0,67,2002,Melbourne,-37.8188,144.9544,545000
Hawthorn,13/5 Denham St,2,u,S,Marshall,07/05/2016 0:00,4.6,3122,2,1,2,0,88,1960,Boroondara,-37.8186,145.017,753000
Richmond,25 Palmer St,4,h,S,Nelson,27/11/2016 0:00,2.6,3121,4,1,0,434,144,1900,Yarra,-37.8185,145.0061,1775000
Richmond,5 Union St,3,h,S,Biggin,30/07/2016 0:00,2.6,3121,3,1,2,248,100,1900,Yarra,-37.8185,144.9935,1520000
Hawthorn,3/35 Creswick St,2,u,PI,Jellis,18/06/2016 0:00,4.6,3122,2,1,1,0,93,1940,Boroondara,-37.8184,145.0163,815000
Hawthorn,1/4 Hill St,2,u,S,Jellis,23/04/2016 0:00,4.6,3122,2,1,3,0,70,1965,Boroondara,-37.8183,145.0194,665000
Richmond,5 Birch Sq,3,h,VB,Jellis,27/11/2016 0:00,2.6,3121,3,2,2,133,174,2000,Yarra,-37.8183,145.0079,1350000
Richmond,229/253 Bridge Rd,1,u,SP,Biggin,10/09/2016 0:00,2.6,3121,1,1,1,3516,56,2011,Yarra,-37.8183,144.9979,439000
Richmond,5 Koorang La,3,h,PI,Biggin,18/06/2016 0:00,2.6,3121,3,2,1,66,118,2013,Yarra,-37.8181,145.007,1100000
Melbourne,2206/60 Market St,1,u,VB,Dingle,12/11/2016 0:00,2.8,3000,1,1,0,0,57,1960,Melbourne,-37.8178,144.9607,450000
Hawthorn,4A Simpson Pl,3,h,S,Jellis,19/11/2016 0:00,4.6,3122,3,1,3,218,92,1900,Boroondara,-37.8176,145.0204,1180000
