Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,distribution Latitide,distribution Longitude
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,2016-07-16 00:00:00.000,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,0.025536075,0.029349966
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,2016-09-17 00:00:00.000,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,0.029382229,0.040345173
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,2017-03-18 00:00:00.000,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,0.005536075,0.025684897
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,2016-06-18 00:00:00.000,2.5,3067,2,1,1,0,60,1970,Yarra,-37.8015,144.9972,0.027843767,0.031323464
Abbotsford,52a William St,2,h,1100000,PI,Biggin,2016-06-18 00:00:00.000,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,0.003228383,0.032733106
Abbotsford,49 Park St,2,h,1315000,S,Marshall,2016-11-19 00:00:00.000,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,0.002843767,0.022301756
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,2016-08-22 00:00:00.000,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,0.027074537,0.039499388
Abbotsford,159 Park St,2,h,1135000,S,Nelson,2016-08-22 00:00:00.000,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,0.031689921,0.025684897
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,2017-02-25 00:00:00.000,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,0.030920691,0.027376467
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,2016-07-26 00:00:00.000,2.5,3067,1,1,1,0,50,2013,Yarra,-37.8055,144.9961,0.012459152,0.028222252
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,2016-11-27 00:00:00.000,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,0.027459152,0.02681261
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,2016-11-27 00:00:00.000,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,0.02515146,0.026248753
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,2016-05-28 00:00:00.000,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,0.025536075,0.032451178
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,2016-07-30 00:00:00.000,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,0.000536075,0.023993326
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,2016-09-03 00:00:00.000,13.5,3042,3,2,1,303,225,2016,Moonee Valley,-37.718,144.878,0.348997614,-0.304735177
Airport West,50 Bedford St,3,h,730000,VB,Nelson,2016-12-03 00:00:00.000,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,0.34015146,-0.311783386
Airport West,50 Bedford St,3,h,770000,SP,Nelson,2017-03-04 00:00:00.000,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,0.34015146,-0.311783386
Airport West,23 Hart St,2,h,603000,S,Nelson,2017-03-04 00:00:00.000,13.5,3042,2,1,1,272,84,1950,Moonee Valley,-37.7294,144.888,0.30515146,-0.276542338
Airport West,1/80 Hawker St,3,t,700000,S,Brad,2017-03-04 00:00:00.000,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,0.334382229,-0.288665258
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,2017-03-04 00:00:00.000,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,0.313228383,-0.314884599
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,2017-03-04 00:00:00.000,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,0.335536075,-0.281053192
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,2016-05-07 00:00:00.000,13.5,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.8735,0.326305306,-0.317421954
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,2016-05-07 00:00:00.000,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,0.33515146,-0.324470164
Airport West,3/19 Hart St,2,u,515000,S,Barry,2016-11-07 00:00:00.000,13.5,3042,2,1,1,141,73,2013,Moonee Valley,-37.7298,144.8883,0.303612998,-0.275696553
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,2016-09-10 00:00:00.000,13.5,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.8792,0.328228383,-0.301352036
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,2016-09-10 00:00:00.000,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,-37.7249,144.8728,0.322459152,-0.319395453
Airport West,13 Etzel St,3,h,805000,S,Nelson,2016-12-10 00:00:00.000,13.5,3042,3,1,1,0,105,1950,Moonee Valley,-37.7217,144.8783,0.334766844,-0.303889392
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,2017-02-11 00:00:00.000,13.5,3042,3,1,1,265,130,1993,Moonee Valley,-37.7302,144.8855,0.302074537,-0.283590547
Airport West,2/40 Earl St,3,t,700000,PI,Brad,2016-10-15 00:00:00.000,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,0.314382229,-0.279361622
Airport West,180 Parer Rd,3,h,830000,S,Barry,2016-04-16 00:00:00.000,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,0.346689921,-0.310373745
Airport West,174 Parer Rd,2,h,675000,S,Barry,2016-07-16 00:00:00.000,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,0.346305306,-0.308964103
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,2016-07-16 00:00:00.000,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,0.351689921,-0.300224322
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,2016-09-17 00:00:00.000,13.5,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,0.317074537,-0.333209944
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,2017-03-18 00:00:00.000,13.5,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,0.308612998,-0.328981018
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,2017-03-18 00:00:00.000,13.5,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.8792,0.35515146,-0.301352036
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,2016-06-18 00:00:00.000,13.5,3042,2,2,1,161,101,2010,Moonee Valley,-37.7231,144.8802,0.329382229,-0.298532752
Airport West,37 North St,3,t,825000,SP,Barry,2016-11-19 00:00:00.000,13.5,3042,3,2,1,293,102,1960,Moonee Valley,-37.72,144.8776,0.341305306,-0.30586289
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,2016-05-22 00:00:00.000,13.5,3042,3,1,1,579,113,1975,Moonee Valley,-37.7226,144.8733,0.331305306,-0.317985811
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,2016-11-27 00:00:00.000,13.5,3042,4,2,3,628,146,1975,Moonee Valley,-37.7256,144.8739,0.319766844,-0.316294241
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2016-09-03 00:00:00.000,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,-0.142925463,-0.086240674
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,2017-03-04 00:00:00.000,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,-0.151387002,-0.102028664
Albert Park,94 Graham St,3,h,1850000,S,Greg,2017-03-04 00:00:00.000,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.9488,-0.140233156,-0.105129876
Albert Park,396 Montague St,2,h,1436000,S,RT,2017-03-04 00:00:00.000,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.8431,144.9565,-0.132156233,-0.08342139
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,2016-05-07 00:00:00.000,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.9523,-0.138310079,-0.095262383
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,2016-11-07 00:00:00.000,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,-0.126002386,-0.096108168
Albert Park,29 Faussett St,2,h,2120000,S,Greg,2016-09-10 00:00:00.000,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,-0.128694694,-0.086522603
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,2016-09-10 00:00:00.000,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,-0.128310079,-0.08172982
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,2016-12-10 00:00:00.000,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,-0.126002386,-0.077782823
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,2016-06-12 00:00:00.000,3.3,3206,3,2,2,0,85,2000,Port Phillip,-37.8451,144.9511,-0.13984854,-0.098645523
Albert Park,65 Graham St,2,h,1322500,S,Greg,2016-10-15 00:00:00.000,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.8443,144.9481,-0.136771617,-0.107103375
Albert Park,364 Montague St,2,h,1562500,S,Greg,2016-10-15 00:00:00.000,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.9562,-0.129463925,-0.084267176
Albert Park,86 Mills St,3,h,2000000,VB,RT,2016-04-16 00:00:00.000,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,-0.147156233,-0.080602107
Albert Park,97 Page St,3,h,3010000,S,Greg,2017-03-18 00:00:00.000,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.8473,144.9551,-0.148310079,-0.087368388
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,2016-06-18 00:00:00.000,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.8467,144.9475,-0.146002386,-0.108794946
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,2016-04-23 00:00:00.000,3.3,3206,2,1,1,120,123,1900,Port Phillip,-37.8427,144.9546,-0.130617771,-0.08877803
Albert Park,49 Page St,3,h,2000000,PI,Marshall,2016-09-24 00:00:00.000,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.9528,-0.143694694,-0.093852741
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,2017-02-25 00:00:00.000,3.3,3206,1,1,0,0,34,1970,Port Phillip,-37.8421,144.9517,-0.128310079,-0.096953953
Albert Park,115 Page St,4,h,4735000,S,Marshall,2017-02-25 00:00:00.000,3.3,3206,4,2,1,330,207,1910,Port Phillip,-37.8477,144.9558,-0.14984854,-0.085394889
Albert Park,27 Barrett St,4,h,2140000,S,Greg,2016-06-27 00:00:00.000,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.8434,144.9495,-0.133310079,-0.103156378
Albert Park,6 Brooke St,2,h,980000,S,Greg,2016-05-28 00:00:00.000,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,-0.115233156,-0.096390096
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,2016-08-28 00:00:00.000,3.3,3206,3,2,2,147,134,1890,Port Phillip,-37.8448,144.9453,-0.138694694,-0.11499737
Albert Park,9 Durham St,1,h,985000,S,Marshall,2016-07-30 00:00:00.000,3.3,3206,1,1,0,81,54,1900,Port Phillip,-37.8411,144.9497,-0.124463925,-0.102592521
Alphington,6 Smith St,4,h,2000000,S,Brace,2016-09-03 00:00:00.000,6.4,3078,3,2,4,853,263,1930,Darebin,-37.7707,145.0318,0.146305306,0.128870687
Alphington,44 Shiers St,4,h,1717500,S,Collins,2016-10-08 00:00:00.000,6.4,3078,4,2,1,599,203,1925,Darebin,-37.7717,145.031,0.142459152,0.12661526
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,2016-06-12 00:00:00.000,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,0.129766844,0.114774268
Alphington,3/19 Harker St,2,u,525500,S,Miles,2016-11-12 00:00:00.000,6.4,3078,2,1,1,88,60,1960,Darebin,-37.7791,145.0306,0.113997614,0.125487547
Alphington,4/2 Miller St,2,t,805000,S,Miles,2016-11-12 00:00:00.000,6.4,3078,2,2,3,155,140,2004,Darebin,-37.7804,145.0308,0.108997614,0.126051404
Alphington,10 Bennett St,4,h,1830000,S,Nelson,2016-11-19 00:00:00.000,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.0316,0.132459152,0.128306831
Alphington,38 Bennett St,4,h,2100000,S,Nelson,2016-11-19 00:00:00.000,6.4,3078,4,2,2,575,271,2008,Darebin,-37.7723,145.0319,0.14015146,0.129152616
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,2016-05-22 00:00:00.000,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,0.109766844,0.107726058
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,2016-05-22 00:00:00.000,6.4,3078,2,1,1,0,60,1960,Darebin,-37.7773,145.0314,0.120920691,0.127742974
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,2017-02-25 00:00:00.000,6.4,3078,2,1,1,0,61,1965,Darebin,-37.7805,145.0262,0.108612998,0.113082698
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,2016-11-27 00:00:00.000,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,0.093612998,0.102651347
Alphington,42 Shiers St,4,h,1950000,S,Jellis,2016-07-30 00:00:00.000,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,0.141689921,0.126333332
Altona,158 Queen St,3,h,520000,VB,Greg,2016-09-03 00:00:00.000,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,-37.87,144.825,-0.235617771,-0.454157224
Altona,59 Bracken Gr,5,h,1525000,S,Greg,2016-12-03 00:00:00.000,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,-37.8721,144.8105,-0.243694694,-0.49503684
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,2016-02-04 00:00:00.000,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.8687,144.8197,-0.230617771,-0.469099428
Altona,4 Blyth St,3,h,1120000,S,Barlow,2017-03-04 00:00:00.000,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,-0.232925463,-0.418916175
Altona,29 Rose St,4,h,1780000,SP,Greg,2016-06-04 00:00:00.000,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,-37.8681,144.819,-0.228310079,-0.471072927
Altona,1/170 Blyth St,3,u,630000,S,Barlow,2016-08-06 00:00:00.000,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.8702,144.8143,-0.236387002,-0.484323561
Altona,156 Maidstone St,3,h,660000,VB,Greg,2016-05-07 00:00:00.000,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,-37.8616,144.8116,-0.203310079,-0.491935628
Altona,1/136 Queen St,2,u,580000,S,Barlow,2016-10-08 00:00:00.000,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,-0.234079309,-0.448518656
Altona,173 Queen St,3,h,1335000,S,hockingstuart,2016-10-08 00:00:00.000,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,-37.8697,144.8249,-0.234463925,-0.454439152
Altona,3/26 Grieve Pde,2,u,510000,S,Village,2016-09-10 00:00:00.000,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,-37.8686,144.8182,-0.230233156,-0.473328354
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,2016-09-10 00:00:00.000,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,-37.871,144.8185,-0.239463925,-0.472482569
Altona,4/31 Millers Rd,2,u,391000,SP,Greg,2017-02-11 00:00:00.000,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,-37.8678,144.8384,-0.227156233,-0.416378819
Altona,24 Wren St,4,h,845000,S,hockingstuart,2017-02-11 00:00:00.000,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,-37.8658,144.8155,-0.219463925,-0.480940421
Altona,4/57 Blyth St,3,u,730000,SP,Barlow,2016-08-13 00:00:00.000,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,-37.868,144.8286,-0.227925463,-0.444007801
Altona,3/46 Sargood St,2,u,447000,S,Burnham,2016-10-15 00:00:00.000,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,-37.8655,144.8299,-0.218310079,-0.440342732
Altona,22 Fenfield St,3,h,678000,S,hockingstuart,2016-04-16 00:00:00.000,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,-37.8608,144.8124,-0.200233156,-0.489680201
Altona,5/8 David St,2,u,580000,PI,Biggin,2016-07-16 00:00:00.000,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,-37.8687,144.8268,-0.230617771,-0.449082512
Altona,27 McIntyre Dr,3,h,840000,SP,Greg,2017-03-18 00:00:00.000,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,-37.86,144.8245,-0.197156233,-0.455566865
Altona,3/20 Mulga St,3,u,577000,S,Williams,2016-04-23 00:00:00.000,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,-37.8684,144.815,-0.229463925,-0.482350063
Altona,104 Maidstone St,2,h,857000,SP,hockingstuart,2016-11-27 00:00:00.000,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,-37.8653,144.8129,-0.217540848,-0.488270559
Altona,5/57 Blyth St,3,u,730000,SP,Barlow,2016-05-28 00:00:00.000,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,-37.868,144.8285,-0.227925463,-0.44428973
Altona,2/60 David St,2,h,535600,SP,Compton,2016-07-30 00:00:00.000,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,-37.8646,144.8272,-0.21484854,-0.447954799
Altona North,45 Hearn St,5,h,1085000,S,FN,2016-09-03 00:00:00.000,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,-37.8388,144.8567,-0.115617771,-0.364785924
Altona North,4 Knapp St,3,h,781000,S,Jas,2016-09-03 00:00:00.000,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,-37.8291,144.835,-0.078310079,-0.425964384
Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,2017-03-04 00:00:00.000,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,-37.8351,144.8529,-0.101387002,-0.375499203
Altona North,33 Carthy St,3,h,683000,S,FN,2016-06-04 00:00:00.000,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,-37.8284,144.8355,-0.075617771,-0.424554743
Altona North,1/5 Little St,3,h,720000,VB,Greg,2016-08-06 00:00:00.000,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,-37.8379,144.8583,-0.112156233,-0.36027507
Altona North,1/95 Mills St,3,h,588000,S,Williams,2016-05-07 00:00:00.000,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,-37.838,144.8555,-0.112540848,-0.368169064
Altona North,5 Binns St,3,h,710000,PI,Village,2016-11-07 00:00:00.000,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,-37.8294,144.8378,-0.079463925,-0.41807039
Altona North,25 Allan St,4,h,875000,SP,Jas,2016-10-08 00:00:00.000,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,-37.8448,144.8529,-0.138694694,-0.375499203
Altona North,2/36 May St,3,h,675000,S,hockingstuart,2016-05-14 00:00:00.000,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,-0.096002386,-0.368450993
Altona North,11 Beevers St,3,h,708000,S,Greg,2016-10-15 00:00:00.000,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,-37.8258,144.8523,-0.065617771,-0.377190773
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,2016-05-22 00:00:00.000,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,-37.8391,144.8467,-0.116771617,-0.392978763
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,2016-08-22 00:00:00.000,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,-37.8262,144.8443,-0.067156233,-0.399745044
Altona North,2 Gadsden St,3,h,728500,S,Jas,2016-08-22 00:00:00.000,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,-37.8277,144.8385,-0.072925463,-0.416096891
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,2016-08-22 00:00:00.000,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,-37.8382,144.8649,-0.113310079,-0.341667796
Altona North,6 Hill St,3,h,815000,S,hockingstuart,2017-02-25 00:00:00.000,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,-37.8318,144.8388,-0.088694694,-0.415251106
Altona North,5 Cresser St,4,h,1200000,SP,RT,2016-11-27 00:00:00.000,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,-37.8375,144.8541,-0.110617771,-0.372116062
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,2016-08-28 00:00:00.000,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,-37.8332,144.8649,-0.094079309,-0.341667796
Armadale,8/19 Mercer Rd,2,u,599000,S,Jellis,2016-09-03 00:00:00.000,6.3,3143,2,1,1,0,76,1964,Stonnington,-37.8543,145.0262,-0.175233156,0.113082698
Armadale,14/71 Denbigh Rd,3,u,995000,S,Marshall,2016-12-03 00:00:00.000,6.3,3143,3,2,2,0,100,1998,Stonnington,-37.8552,145.016,-0.178694694,0.084326002
Armadale,4/769 High St,3,t,1205000,S,Jellis,2016-12-03 00:00:00.000,6.3,3143,3,2,2,101,105,2000,Stonnington,-37.854,145.0135,-0.174079309,0.077277792
Armadale,7 Llaneast St,3,h,1939000,S,Jellis,2016-12-03 00:00:00.000,6.3,3143,3,2,2,296,150,1889,Stonnington,-37.8614,145.0274,-0.202540848,0.116465838
Armadale,28 Cambridge St,3,h,1870000,S,Hodges,2017-03-04 00:00:00.000,6.3,3143,3,1,1,217,116,1888,Stonnington,-37.8592,145.0182,-0.194079309,0.090528426
Armadale,3/20 Mercer Rd,3,t,1918000,SP,Jellis,2017-03-04 00:00:00.000,6.3,3143,3,2,2,0,165,1995,Stonnington,-37.8537,145.0267,-0.172925463,0.11449234
Armadale,12 Willis St,3,h,2050000,S,Marshall,2017-03-04 00:00:00.000,6.3,3143,3,2,1,205,116,1910,Stonnington,-37.8574,145.0281,-0.187156233,0.118439337
Armadale,9/19 Mercer Rd,3,u,735000,PI,Marshall,2016-05-07 00:00:00.000,6.3,3143,3,2,1,2113,14,1970,Stonnington,-37.8543,145.0262,-0.175233156,0.113082698
Armadale,10 William St,1,h,1435000,SP,Jellis,2016-10-08 00:00:00.000,6.3,3143,2,2,1,144,107,1900,Stonnington,-37.8564,145.0228,-0.183310079,0.103497132
Armadale,15/405 Dandenong Rd,1,u,280000,PI,hockingstuart,2016-09-10 00:00:00.000,6.3,3143,1,1,1,0,38,1975,Stonnington,-37.8619,145.0185,-0.204463925,0.091374212
Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,2016-12-10 00:00:00.000,6.3,3143,2,1,1,0,73,1970,Stonnington,-37.8574,145.0174,-0.187156233,0.088272999
Armadale,40 New St,2,h,1210000,S,Marshall,2016-11-12 00:00:00.000,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,-0.175233156,0.084326002
Armadale,35 Northcote Rd,4,h,2801000,S,Marshall,2016-11-12 00:00:00.000,6.3,3143,4,2,2,624,222,1900,Stonnington,-37.8536,145.0173,-0.172540848,0.087991071
Armadale,791 High St,3,h,1800000,PI,RT,2016-10-15 00:00:00.000,6.3,3143,3,2,2,405,121,1910,Stonnington,-37.8545,145.0145,-0.176002386,0.080097076
Armadale,25 Llaneast St,4,h,2200000,PI,Jellis,2016-10-15 00:00:00.000,6.3,3143,4,1,2,495,163,1900,Stonnington,-37.8613,145.0264,-0.202156233,0.113646554
Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,2016-09-17 00:00:00.000,6.3,3143,5,3,4,1491,516,1935,Stonnington,-37.8602,145.013,-0.197925463,0.07586815
Armadale,10/581 Orrong Rd,1,u,440000,SP,Jellis,2017-03-18 00:00:00.000,6.3,3143,1,1,1,0,53,1970,Stonnington,-37.8531,145.0115,-0.170617771,0.071639224
Armadale,14 New St,3,h,1300000,VB,Jellis,2016-06-18 00:00:00.000,6.3,3143,2,1,2,212,106,1900,Stonnington,-37.8542,145.0149,-0.17484854,0.081224789
Armadale,6/51 Armadale St,2,u,704000,SP,Greg,2016-11-19 00:00:00.000,6.3,3143,2,1,1,0,74,1969,Stonnington,-37.8573,145.0186,-0.186771617,0.09165614
Armadale,12/41 Kooyong Rd,2,u,620000,VB,Marshall,2016-11-19 00:00:00.000,6.3,3143,3,1,1,0,98,1970,Stonnington,-37.8596,145.0198,-0.195617771,0.095039281
Armadale,63 Denbigh Rd,3,h,1900000,S,Marshall,2016-05-22 00:00:00.000,6.3,3143,3,1,2,328,108,1900,Stonnington,-37.8559,145.0158,-0.181387002,0.083762145
Armadale,10/51 Armadale St,2,u,710000,S,Jellis,2017-02-25 00:00:00.000,6.3,3143,2,1,1,2471,80,1970,Stonnington,-37.8573,145.0186,-0.186771617,0.09165614
